date,open,high,low,close,volume
2009-10-19,17.0888,17.1542,16.8396,17.0357,1349701
2009-10-20,17.1582,17.2399,16.9376,17.1214,1112993
2009-10-21,17.0152,17.6484,17.0152,17.2889,2236854
2009-10-22,17.4156,17.5831,17.2113,17.4646,1065198
2009-10-23,17.485,17.53,17.052,17.1582,841569
2009-10-26,17.195,17.5953,16.9499,17.0193,998689
2009-10-27,17.0194,17.2318,16.8069,16.8396,1257210
2009-10-28,16.8232,17.0152,16.333,16.3534,1563112
2009-10-29,16.4923,16.9826,16.3943,16.8069,2050246
2009-10-30,18.0447,18.5636,17.3625,17.3625,8213566
2009-11-02,17.628,18.1714,17.4605,18.1346,2795727
2009-11-03,17.9262,18.2653,17.8241,18.2449,2186038
2009-11-04,18.392,18.4655,18.2122,18.2776,1462208
2009-11-05,18.3062,18.8904,18.2572,18.8618,2948438
2009-11-06,18.8332,19.1232,18.5104,19.0987,2615153
2009-11-09,19.254,19.3766,19.1069,19.2581,1928343
2009-11-10,19.2172,19.4501,19.062,19.1396,2118143
2009-11-11,19.2254,19.3766,18.8577,19.0089,1993218
2009-11-12,19.0416,19.0783,18.8373,18.9803,2730614
2009-11-13,19.0211,19.1151,18.8495,19.0497,1342671
2009-11-16,19.1232,19.9811,19.0905,19.9607,2926044
2009-11-17,19.8831,20.0547,19.83,20.022,1847449
2009-11-18,19.9812,20.0425,19.4869,19.6707,1786173
2009-11-19,19.5563,19.5849,19.1437,19.4501,1123784
2009-11-20,19.3684,19.5849,19.1764,19.5522,1700543
2009-11-23,19.7769,20.1119,19.6217,19.7279,1332052
2009-11-24,19.7115,19.8708,19.5318,19.6298,1442596
2009-11-25,19.8943,19.9605,19.7332,19.9274,994056
2009-11-27,19.448,19.5183,19.0678,19.4191,660968
2009-11-30,19.4727,19.4727,19.1835,19.3529,1305897
2009-12-01,19.4893,20.1298,19.4893,20.1133,1711139
2009-12-02,20.0844,20.4728,20.0224,20.4563,1674441
2009-12-03,20.4316,20.6836,20.3282,20.3861,2199368
2009-12-04,20.5679,20.663,20.1629,20.1712,3239955
2009-12-07,20.1836,20.448,20.0017,20.2786,1812056
2009-12-08,20.196,20.196,19.6546,19.7703,2789827
2009-12-09,19.8984,19.9563,19.4604,19.6422,1364581
2009-12-10,19.667,19.9976,19.667,19.9191,2038443
2009-12-11,20.0638,20.4977,19.9646,20.3737,1458311
2009-12-14,20.5597,20.8448,20.4977,20.7787,1631302
2009-12-15,20.7167,20.7497,20.5638,20.6299,1060919
